train_loss,val_loss,val_acc
3.6739, 3.5236, 0.0670
3.4814, 3.4172, 0.0670
3.3703, 3.3459, 0.0759
3.2644, 3.2331, 0.0960
3.0963, 3.1412, 0.1250
2.9710, 2.9352, 0.1786
2.8135, 2.8466, 0.1942
2.7434, 2.8280, 0.1875
2.6408, 2.8632, 0.1897
2.5547, 2.6625, 0.2522
2.4703, 2.6761, 0.2634
2.3897, 2.6662, 0.2344
2.3337, 2.6555, 0.2679
2.3096, 2.7084, 0.2679
2.1924, 2.6346, 0.3036
2.0918, 2.8087, 0.2723
2.0259, 2.6827, 0.3103
2.0005, 2.7167, 0.2835
1.8752, 2.5202, 0.3304
1.8282, 2.6881, 0.2768
1.7638, 2.6219, 0.3103
1.5953, 2.5761, 0.3415
1.5915, 2.6692, 0.3371
1.4325, 2.8831, 0.3170
1.3470, 2.7675, 0.3527
1.2058, 2.8426, 0.3415
1.2053, 2.9428, 0.3214
1.0825, 2.9876, 0.3036
0.9673, 3.4098, 0.3393
0.8685, 3.5078, 0.3393
0.8346, 3.2963, 0.3438
0.7015, 3.9576, 0.3616
0.6867, 3.9245, 0.3348
0.6870, 4.0948, 0.3638
0.6230, 4.2616, 0.3393
0.6700, 4.1608, 0.3393
0.3908, 4.8320, 0.3638
0.4234, 5.0326, 0.3237
0.5704, 4.1932, 0.3839
0.2971, 5.7300, 0.3281
0.3030, 5.3206, 0.3795
0.3276, 5.3552, 0.3951
0.2987, 5.8964, 0.3594
0.3132, 5.3064, 0.3594
0.1969, 5.9463, 0.3795
0.4380, 5.0879, 0.3460
0.3378, 5.2565, 0.3304
0.1689, 6.1635, 0.3661
0.1229, 6.5386, 0.3683
0.0998, 6.8068, 0.3415
0.2372, 6.7128, 0.3839
0.1298, 7.1195, 0.3594
0.1551, 7.1471, 0.4062
0.1457, 6.9564, 0.3415
0.1987, 7.3809, 0.3571
0.1499, 7.5181, 0.3549
0.1333, 7.4694, 0.3549
0.2696, 6.2923, 0.3571
0.2486, 6.0391, 0.3973
0.0957, 7.3429, 0.3839
0.0571, 7.4515, 0.4219
0.0975, 7.8294, 0.3772
0.1852, 6.8960, 0.3415
0.1851, 6.6382, 0.3661
0.1235, 7.1250, 0.3661
0.1373, 6.5942, 0.3862
0.1535, 6.6328, 0.3884
0.2068, 6.0329, 0.3616
0.1199, 7.0804, 0.3906
0.0524, 7.8286, 0.3750
0.0832, 7.6629, 0.3527
0.0870, 7.1498, 0.4018
0.0520, 7.6597, 0.3839
0.1148, 7.2216, 0.3929
0.2247, 6.3189, 0.3438
0.1120, 7.3508, 0.3661
0.0866, 7.6544, 0.3415
0.1241, 7.2545, 0.3772
0.2132, 7.0117, 0.3683
0.0952, 7.1080, 0.3772
0.0917, 7.1517, 0.3705
0.0760, 8.7958, 0.3705
0.4282, 5.5342, 0.3728
0.2316, 6.4541, 0.3504
0.0928, 6.8527, 0.3862
0.0406, 7.5485, 0.3862
0.0740, 7.2264, 0.3438
0.0436, 8.0982, 0.4040
0.0139, 8.2107, 0.3929
0.0080, 8.2588, 0.4062
0.0014, 8.5248, 0.4129
0.0005, 8.6685, 0.4085
0.0004, 8.7782, 0.4062
0.0003, 8.8754, 0.4107
0.0003, 8.9606, 0.4085
0.0002, 9.0469, 0.4129
0.0002, 9.1255, 0.4107
0.0002, 9.1928, 0.4085
0.0002, 9.2547, 0.4085
0.0002, 9.3207, 0.4085
0.0001, 10.9114, 0.4129
0.0001, 11.6118, 0.4018
0.0001, 11.9334, 0.4085
0.0000, 12.1338, 0.4107
0.0000, 12.2898, 0.4107
0.0000, 12.4295, 0.4085
0.0000, 12.5537, 0.4107
0.0000, 12.6683, 0.4107
0.0000, 12.7707, 0.4085
0.0000, 12.8652, 0.4040
0.0000, 12.9555, 0.4040
0.0000, 13.0422, 0.4040
0.0000, 13.1267, 0.4040
0.0000, 13.2053, 0.4040
0.0000, 13.2795, 0.4040
0.0000, 13.3482, 0.4040
0.0000, 13.4208, 0.4040
0.0000, 13.4814, 0.4062
0.0000, 13.5463, 0.4062
0.0000, 13.6086, 0.4062
0.0000, 13.6651, 0.4062
0.0000, 13.7169, 0.4062
0.0000, 13.7716, 0.4062
0.0000, 13.8268, 0.4062
0.0000, 13.8758, 0.4062
